day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-2;0;INTARIAN_PEPPER_ROOT;9992;17;;;;;10005;9;10008;17;;;9998.5;0.0
-2;0;ASH_COATED_OSMIUM;;;;;;;10010;25;;;;;10010.0;0.0
-2;100;INTARIAN_PEPPER_ROOT;9995;11;9992;16;;;10006;11;10008;16;;;10000.3;0.0
-2;100;ASH_COATED_OSMIUM;9992;15;;;;;10008;15;10011;20;;;10000.0;0.0
-2;200;INTARIAN_PEPPER_ROOT;9995;12;;;;;10008;20;;;;;10001.1;0.0
-2;200;ASH_COATED_OSMIUM;9992;15;9989;30;;;10008;15;10010;30;;;10000.0;0.0
-2;300;ASH_COATED_OSMIUM;9992;13;9989;26;;;10008;13;10010;26;;;10000.0;0.0
-2;300;INTARIAN_PEPPER_ROOT;;;;;;;10005;10;10007;21;;;10005.4;0.0
-2;400;ASH_COATED_OSMIUM;9992;15;;;;;10008;15;10010;20;;;10000.0;0.0
-2;400;INTARIAN_PEPPER_ROOT;9991;20;;;;;10005;12;10007;20;;;9998.2;0.0
-2;500;INTARIAN_PEPPER_ROOT;9994;12;9992;16;;;10005;12;10007;16;;;9999.5;0.0
-2;500;ASH_COATED_OSMIUM;9992;13;9989;30;;;10008;13;10010;30;;;10000.0;0.0
-2;600;ASH_COATED_OSMIUM;9989;30;;;;;10010;30;;;;;9999.5;0.0
-2;600;INTARIAN_PEPPER_ROOT;9994;11;9992;16;;;10008;16;;;;;10000.8;0.0
-2;700;ASH_COATED_OSMIUM;9990;27;;;;;10011;27;;;;;10000.5;0.0
-2;700;INTARIAN_PEPPER_ROOT;9994;12;9992;17;;;10005;12;10008;17;;;9999.1;0.0
-2;800;ASH_COATED_OSMIUM;9993;15;;;;;10011;21;;;;;10002.0;0.0
-2;800;INTARIAN_PEPPER_ROOT;9991;23;;;;;10004;9;;;;;9997.9;0.0
-2;900;INTARIAN_PEPPER_ROOT;9993;11;9991;24;;;10004;11;10007;24;;;9998.7;0.0
-2;900;ASH_COATED_OSMIUM;9993;13;9990;30;;;9998;8;10009;13;10011;30;9995.5;0.0
-2;1000;ASH_COATED_OSMIUM;9990;22;;;;;10009;15;10011;22;;;9999.5;0.0
-2;1000;INTARIAN_PEPPER_ROOT;9993;11;9991;24;;;10004;11;10007;24;;;9998.5;0.0
-2;1100;ASH_COATED_OSMIUM;9993;10;;;;;10009;10;10011;25;;;10001.0;0.0
-2;1100;INTARIAN_PEPPER_ROOT;;;;;;;10001;8;10007;21;;;10000.8;0.0
-2;1200;INTARIAN_PEPPER_ROOT;9991;21;;;;;10005;10;;;;;9997.6;0.0
-2;1200;ASH_COATED_OSMIUM;;;;;;;10009;10;10011;27;;;10009.0;0.0
-2;1300;INTARIAN_PEPPER_ROOT;9993;9;9990;16;;;10004;9;10006;16;;;9998.9;0.0
-2;1300;ASH_COATED_OSMIUM;9993;10;9991;23;;;10012;23;;;;;10002.5;0.0
-2;1400;INTARIAN_PEPPER_ROOT;9993;10;9990;18;;;10004;10;10006;18;;;9998.7;0.0
-2;1400;ASH_COATED_OSMIUM;9993;13;9991;26;;;10009;13;10012;26;;;10001.0;0.0
-2;1500;ASH_COATED_OSMIUM;9994;12;9991;25;;;10010;12;10012;25;;;10002.0;0.0
-2;1500;INTARIAN_PEPPER_ROOT;9993;9;9990;23;;;10004;9;;;;;9998.5;0.0
-2;1600;INTARIAN_PEPPER_ROOT;9991;24;;;;;10004;8;;;;;9997.3;0.0
-2;1600;ASH_COATED_OSMIUM;9994;15;9991;23;;;;;;;;;9994.0;0.0
-2;1700;INTARIAN_PEPPER_ROOT;9993;9;9991;18;;;10004;9;;;;;9998.1;0.0
-2;1700;ASH_COATED_OSMIUM;9999;3;9994;12;9991;28;10010;12;10012;28;;;10004.5;0.0
-2;1800;INTARIAN_PEPPER_ROOT;9992;12;9990;23;;;10003;12;10006;23;;;9997.9;0.0
-2;1800;ASH_COATED_OSMIUM;9994;14;9991;24;;;10010;14;10012;24;;;10002.0;0.0
-2;1900;ASH_COATED_OSMIUM;9994;11;9991;25;;;10010;11;10012;25;;;10002.0;0.0
-2;1900;INTARIAN_PEPPER_ROOT;9992;8;9990;17;;;10006;17;;;;;9999.2;0.0
-2;2000;INTARIAN_PEPPER_ROOT;9990;17;;;;;10004;11;10006;17;;;9997.0;0.0
-2;2000;ASH_COATED_OSMIUM;9991;30;;;;;10010;10;10012;30;;;10000.5;0.0
-2;2100;INTARIAN_PEPPER_ROOT;9993;10;;;;;10006;20;;;;;9999.3;0.0
-2;2100;ASH_COATED_OSMIUM;9994;13;9992;20;;;10010;13;;;;;10002.0;0.0
-2;2200;INTARIAN_PEPPER_ROOT;9990;19;;;;;10004;12;10006;19;;;9996.6;0.0
-2;2200;ASH_COATED_OSMIUM;9994;14;;;;;10010;14;10013;25;;;10002.0;0.0
-2;2300;INTARIAN_PEPPER_ROOT;9989;22;;;;;10003;12;;;;;9996.4;0.0
-2;2300;ASH_COATED_OSMIUM;10000;5;9995;11;9992;28;10011;11;10013;28;;;10005.5;0.0
-2;2400;ASH_COATED_OSMIUM;9992;30;;;;;10011;13;10013;30;;;10001.5;0.0
-2;2400;INTARIAN_PEPPER_ROOT;9992;9;9989;18;;;10003;9;10005;18;;;9997.7;0.0
-2;2500;INTARIAN_PEPPER_ROOT;9992;9;;;;;10003;9;10006;18;;;9997.5;0.0
-2;2500;ASH_COATED_OSMIUM;9992;21;;;;;10011;14;;;;;10001.5;0.0
-2;2600;INTARIAN_PEPPER_ROOT;9990;15;;;;;10003;8;10006;15;;;9996.3;0.0
-2;2600;ASH_COATED_OSMIUM;9995;15;9992;21;;;10011;15;;;;;10003.0;0.0
-2;2700;INTARIAN_PEPPER_ROOT;9992;10;9990;16;;;10006;16;;;;;9998.6;0.0
-2;2700;ASH_COATED_OSMIUM;9995;15;9992;26;;;10013;26;;;;;10004.0;0.0
-2;2800;ASH_COATED_OSMIUM;9995;13;;;;;10011;13;10013;28;;;10003.0;0.0
-2;2800;INTARIAN_PEPPER_ROOT;9991;10;9989;21;;;10002;10;;;;;9996.9;0.0
-2;2900;INTARIAN_PEPPER_ROOT;9991;8;9989;21;;;10002;8;10005;21;;;9996.7;0.0
-2;2900;ASH_COATED_OSMIUM;9995;15;9993;30;;;10011;15;10014;30;;;10003.0;0.0
-2;3000;INTARIAN_PEPPER_ROOT;9991;8;9989;19;;;10003;8;10005;19;;;9997.0;0.0
-2;3000;ASH_COATED_OSMIUM;9993;26;;;;;10011;12;10014;26;;;10002.0;0.0
-2;3100;INTARIAN_PEPPER_ROOT;9992;9;;;;;10005;19;;;;;9998.3;0.0
-2;3100;ASH_COATED_OSMIUM;9996;12;;;;;10012;12;10014;23;;;10004.0;0.0
-2;3200;ASH_COATED_OSMIUM;9996;11;9993;26;;;10014;26;;;;;10005.0;0.0
-2;3200;INTARIAN_PEPPER_ROOT;9989;22;;;;;10005;22;;;;;9996.6;0.0
-2;3300;INTARIAN_PEPPER_ROOT;9991;10;9988;19;;;10002;10;;;;;9996.9;0.0
-2;3300;ASH_COATED_OSMIUM;9996;15;9993;20;;;10012;15;10014;20;;;10004.0;0.0
-2;3400;INTARIAN_PEPPER_ROOT;9991;9;9988;21;;;10002;9;10004;21;;;9996.7;0.0
-2;3400;ASH_COATED_OSMIUM;9996;10;9993;22;;;10012;10;;;;;10004.0;0.0
-2;3500;INTARIAN_PEPPER_ROOT;9991;11;;;;;10005;23;;;;;9998.0;0.0
-2;3500;ASH_COATED_OSMIUM;9993;29;;;;;10012;10;10014;29;;;10002.5;0.0
-2;3600;ASH_COATED_OSMIUM;9996;10;9993;26;;;10012;10;;;;;10004.0;0.0
-2;3600;INTARIAN_PEPPER_ROOT;9991;12;9989;19;;;10002;12;10005;19;;;9996.3;0.0
-2;3700;ASH_COATED_OSMIUM;9993;25;;;;;10011;11;;;;;10002.0;0.0
-2;3700;INTARIAN_PEPPER_ROOT;9991;9;;;;;10002;9;10005;17;;;9996.1;0.0
-2;3800;INTARIAN_PEPPER_ROOT;9990;8;9988;20;;;10004;20;;;;;9997.4;0.0
-2;3800;ASH_COATED_OSMIUM;9995;11;9993;27;;;10011;11;10014;27;;;10003.0;0.0
-2;3900;ASH_COATED_OSMIUM;9995;14;9993;25;;;10011;14;10014;25;;;10003.0;0.0
-2;3900;INTARIAN_PEPPER_ROOT;9990;11;;;;;10001;11;10004;15;;;9995.7;0.0
-2;4000;ASH_COATED_OSMIUM;9996;10;9994;27;;;10012;10;10015;27;;;10004.0;0.0
-2;4000;INTARIAN_PEPPER_ROOT;9999;7;9990;11;9988;20;10002;11;10004;20;;;10000.5;0.0
-2;4100;ASH_COATED_OSMIUM;9994;28;;;;;10013;12;;;;;10003.5;0.0
-2;4100;INTARIAN_PEPPER_ROOT;9991;12;9988;17;;;;;;;;;9990.8;0.0
-2;4200;INTARIAN_PEPPER_ROOT;9988;16;;;;;10004;16;;;;;9995.6;0.0
-2;4200;ASH_COATED_OSMIUM;9994;23;;;;;10015;23;;;;;10004.5;0.0
-2;4300;ASH_COATED_OSMIUM;9997;13;9994;26;;;10015;26;;;;;10006.0;0.0
-2;4300;INTARIAN_PEPPER_ROOT;;;;;;;10001;11;10003;25;;;10001.4;0.0
-2;4400;ASH_COATED_OSMIUM;9997;11;9994;28;;;10015;28;;;;;10006.0;0.0
-2;4400;INTARIAN_PEPPER_ROOT;9987;17;;;;;10001;9;10003;17;;;9994.2;0.0
-2;4500;INTARIAN_PEPPER_ROOT;9990;8;9987;18;;;10001;8;10004;18;;;9995.5;0.0
-2;4500;ASH_COATED_OSMIUM;9997;12;9994;29;;;10013;12;10015;29;;;10005.0;0.0
-2;4600;INTARIAN_PEPPER_ROOT;9990;8;9988;19;;;10001;8;10004;19;;;9995.3;0.0
-2;4600;ASH_COATED_OSMIUM;9997;11;9995;29;;;10016;29;;;;;10006.5;0.0
-2;4700;INTARIAN_PEPPER_ROOT;9990;8;9988;15;;;10004;15;;;;;9996.6;0.0
-2;4700;ASH_COATED_OSMIUM;;;;;;;10013;11;10016;29;;;10013.0;0.0
-2;4800;ASH_COATED_OSMIUM;9995;24;;;;;10007;3;10013;14;10016;24;10001.0;0.0
