seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260417,1000,-1962.0625,-1.881177,0.791492,23.710675,31,0
20260418,1000,-512.1445,0.012344,0.000899,13.049898,33,0
20260419,1000,-1235.3867,-0.942493,0.619703,20.259257,38,0
20260420,1000,-1668.9844,-2.255041,0.896730,25.589490,49,0
20260421,1000,-1007.8125,-1.046957,0.541959,19.569046,39,0
20260422,1000,-1581.7344,-2.322221,0.850370,25.891242,41,0
20260423,1000,279.6230,0.321056,0.788772,6.215648,20,0
20260424,1000,-1112.4688,-0.469509,0.334599,17.296911,27,0
20260425,1000,272.2891,0.220375,0.662292,4.923688,24,0
20260426,1000,-1346.6250,-0.867482,0.546419,23.022823,38,0
20260427,1000,292.6621,0.296147,0.932651,2.106515,20,0
20260428,1000,-1728.0781,-2.054922,0.861080,27.837033,59,0
20260429,1000,481.3105,0.433113,0.885112,9.048091,36,0
20260430,1000,-2546.4844,-4.014871,0.917557,32.339831,70,0
20260431,1000,433.5234,0.369642,0.921686,6.328192,32,0
20260432,1000,240.5703,0.099348,0.349198,4.865814,22,0
20260433,1000,274.4688,0.113378,0.038933,15.238077,30,0
20260434,1000,-2933.6719,-3.256882,0.946827,30.006293,58,0
20260435,1000,-695.4375,-0.119741,0.028191,16.963591,42,0
20260436,1000,382.5000,0.399578,0.880730,7.892054,25,0
20260437,1000,118.4463,-0.268482,0.142522,23.747932,35,0
20260438,1000,-932.1943,-1.335357,0.880433,24.434992,43,0
20260439,1000,-504.6846,-0.266057,0.268235,14.013823,45,0
20260440,1000,283.5312,0.294507,0.884083,6.080944,26,0
20260441,1000,-1186.8887,-1.188016,0.459196,24.897507,45,0
20260442,1000,-265.2100,0.276206,0.523007,12.800343,29,0
20260443,1000,411.6211,0.266355,0.695364,6.631067,21,0
20260444,1000,425.3164,0.544775,0.952733,5.004089,29,0
20260445,1000,-387.2969,-0.867881,0.447930,21.143025,33,0
20260446,1000,34.7578,0.035684,0.007137,16.888486,37,0
20260447,1000,-1082.8438,-0.763953,0.571099,18.651936,37,0
20260448,1000,-572.6240,-0.108287,0.072520,12.168550,23,0
20260449,1000,-595.8672,-1.431128,0.734587,22.555857,52,0
20260450,1000,496.5381,0.664730,0.872432,9.997731,28,0
20260451,1000,-60.7363,-0.058433,0.067990,9.826883,33,0
20260452,1000,-221.0918,-0.182668,0.193975,13.255632,40,0
20260453,1000,-899.0195,-0.929719,0.710040,18.712249,36,0
20260454,1000,-443.3486,-0.298947,0.207326,17.512941,36,0
20260455,1000,-553.3945,-0.492000,0.578638,18.421924,41,0
20260456,1000,-302.8594,-0.520558,0.268261,18.655623,29,0
20260457,1000,19.4551,-0.022593,0.009104,10.079084,25,0
20260458,1000,76.9375,0.149656,0.294832,11.571584,38,0
20260459,1000,-928.3438,-1.180507,0.559661,24.015334,56,0
20260460,1000,270.4141,0.331300,0.872780,4.963176,26,0
20260461,1000,64.4844,0.013275,0.002885,11.370007,34,0
20260462,1000,-92.3896,-0.189732,0.190871,15.569420,27,0
20260463,1000,275.1094,0.254063,0.776856,3.828791,26,0
20260464,1000,-121.5938,-0.160744,0.085919,17.017496,44,0
20260465,1000,234.3125,0.318749,0.617885,7.871699,20,0
20260466,1000,355.4062,0.348683,0.829260,6.724654,24,0
20260467,1000,-874.4277,-0.926038,0.501317,20.990281,43,0
20260468,1000,384.7832,0.448198,0.965021,4.795280,24,0
20260469,1000,761.7070,0.216690,0.102689,14.047418,37,0
20260470,1000,391.2461,0.493511,0.898275,5.029709,20,0
20260471,1000,38.4062,-0.025008,0.018748,9.543029,24,0
20260472,1000,-1458.0469,-1.115727,0.478964,23.201472,36,0
20260473,1000,-1341.1094,-1.437244,0.717323,19.478991,36,0
20260474,1000,-1166.3594,-1.840298,0.819035,24.885986,46,0
20260475,1000,-1744.3281,-2.119217,0.935506,27.582527,48,0
20260476,1000,-1201.5508,-1.283468,0.706272,20.180864,54,0
20260477,1000,-482.2461,-0.159444,0.069514,16.878547,39,0
20260478,1000,-75.5781,0.001883,0.000022,18.444348,30,0
20260479,1000,-395.8232,-0.012888,0.001700,11.236610,33,0
20260480,1000,327.0078,0.286272,0.479136,10.595036,22,0
20260481,1000,30.7266,-0.071372,0.030031,12.758322,35,0
20260482,1000,-500.3184,-0.582393,0.654513,21.043454,46,0
20260483,1000,488.6191,0.473726,0.918816,5.194560,29,0
20260484,1000,-1012.2656,-1.447039,0.869836,26.329333,41,0
20260485,1000,-32.0156,0.142558,0.148349,15.070242,25,0
20260486,1000,248.4111,0.112861,0.327392,7.274113,28,0
20260487,1000,348.3594,0.302888,0.816554,8.532364,26,0
20260488,1000,776.5859,0.666635,0.898622,7.247190,31,0
20260489,1000,-200.8184,-0.384595,0.150874,20.819954,42,0
20260490,1000,-698.0410,-0.875317,0.705927,21.482019,39,0
20260491,1000,-383.1572,-0.064649,0.040383,14.559856,33,0
20260492,1000,508.5547,0.615032,0.827295,9.020804,40,0
20260493,1000,496.7441,0.311962,0.459815,11.631177,36,0
20260494,1000,-74.1562,0.407768,0.525825,13.955594,33,0
20260495,1000,-234.4004,-0.280233,0.700388,13.458567,28,0
20260496,1000,41.8906,0.119375,0.228120,11.399104,34,0
20260497,1000,164.9492,0.121030,0.224701,11.885720,29,0
20260498,1000,-3251.0312,-4.280644,0.938864,29.041001,59,0
20260499,1000,-800.3438,-1.561088,0.853728,22.215141,46,0
20260500,1000,270.5508,0.427464,0.746369,9.893414,35,0
20260501,1000,-822.7031,-1.361357,0.670492,22.677144,55,0
20260502,1000,-1336.6562,-1.138976,0.828094,20.025055,46,0
20260503,1000,283.1914,0.253463,0.623109,5.607407,30,0
20260504,1000,-174.7656,-0.430071,0.362211,19.369371,27,0
20260505,1000,381.8789,0.419346,0.928407,4.229556,26,0
