seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260417,1000,-894.5742,-0.771095,0.629004,17.207417,25,0
20260418,1000,-33.2490,0.196336,0.290156,9.561925,33,0
20260419,1000,931.2031,0.885362,0.973219,8.632660,30,0
20260420,1000,-14.0801,-0.135012,0.420985,7.697875,28,0
20260421,1000,700.2734,0.826080,0.934503,6.585565,33,0
20260422,1000,84.8164,0.083542,0.237511,8.819148,22,0
20260423,1000,277.7822,0.223570,0.795645,3.921576,23,0
20260424,1000,162.1934,0.158914,0.668657,5.345226,18,0
20260425,1000,298.7559,0.249894,0.657832,6.804885,27,0
20260426,1000,1235.5781,1.187761,0.883193,14.104341,22,0
20260427,1000,273.3105,0.382894,0.924274,4.066200,21,0
20260428,1000,859.5195,0.872173,0.958563,7.238511,36,0
20260429,1000,565.3672,0.618322,0.955086,7.686485,32,0
20260430,1000,42.9014,-0.316456,0.161980,17.577893,29,0
20260431,1000,431.1094,0.409212,0.929718,5.659069,31,0
20260432,1000,400.5430,0.221573,0.356167,8.840373,21,0
20260433,1000,380.0000,0.286734,0.519212,5.267311,22,0
20260434,1000,147.6709,0.306359,0.731359,5.669906,31,0
20260435,1000,16.8008,0.154051,0.321429,8.765760,33,0
20260436,1000,415.3750,0.426207,0.908846,5.069492,31,0
20260437,1000,539.9824,0.587404,0.910572,6.435797,27,0
20260438,1000,332.0068,0.381008,0.829946,7.903036,29,0
20260439,1000,634.3779,0.613237,0.920833,5.392057,27,0
20260440,1000,439.4688,0.470116,0.948255,6.039611,26,0
20260441,1000,233.4805,0.270292,0.595703,5.117413,27,0
20260442,1000,319.9492,0.401466,0.925720,6.340404,23,0
20260443,1000,474.4941,0.495777,0.920549,6.233392,26,0
20260444,1000,471.4219,0.653586,0.926550,7.564546,24,0
20260445,1000,598.6426,0.684989,0.972079,3.302061,24,0
20260446,1000,483.7422,0.534745,0.961544,4.785693,28,0
20260447,1000,675.5801,0.527403,0.602372,9.748101,23,0
20260448,1000,277.8984,0.372610,0.937923,3.687305,22,0
20260449,1000,788.4531,0.789802,0.951780,4.764188,37,0
20260450,1000,505.5557,0.725830,0.826581,10.699502,24,0
20260451,1000,297.7285,0.268234,0.726799,7.280594,21,0
20260452,1000,549.1367,0.837373,0.910786,12.455232,28,0
20260453,1000,337.8574,0.353346,0.918940,6.072951,24,0
20260454,1000,497.3232,0.765754,0.841254,9.857701,30,0
20260455,1000,757.7266,0.736832,0.805227,9.016472,25,0
20260456,1000,651.5088,0.630633,0.933815,4.818324,30,0
20260457,1000,220.3037,0.038279,0.008671,15.724248,22,0
20260458,1000,493.2734,0.475988,0.921689,5.615201,34,0
20260459,1000,298.0000,0.208812,0.560925,9.678312,35,0
20260460,1000,527.8789,0.597006,0.925993,5.896697,29,0
20260461,1000,755.5000,0.650028,0.953897,8.441415,30,0
20260462,1000,597.6182,0.811604,0.888098,12.702468,28,0
20260463,1000,267.5469,0.198242,0.533911,5.576846,25,0
20260464,1000,955.4023,1.075042,0.929202,11.588340,36,0
20260465,1000,229.4531,0.313587,0.366739,11.076794,26,0
20260466,1000,373.6406,0.358219,0.829257,9.990826,24,0
20260467,1000,523.7119,0.703176,0.891625,10.325644,33,0
20260468,1000,616.6289,0.683116,0.962682,6.722556,30,0
20260469,1000,499.3848,0.450319,0.640140,11.013785,33,0
20260470,1000,469.0723,0.556960,0.945089,4.941796,20,0
20260471,1000,354.2031,0.290588,0.746163,9.118638,25,0
20260472,1000,123.3145,0.169873,0.542034,4.862578,23,0
20260473,1000,796.1328,0.825530,0.977501,6.718054,29,0
20260474,1000,-150.2256,-0.239394,0.588781,6.704876,25,0
20260475,1000,321.1328,0.316010,0.690789,4.966026,27,0
20260476,1000,474.8672,0.334973,0.786670,5.703153,40,0
20260477,1000,357.0615,0.296850,0.952222,3.810456,33,0
20260478,1000,357.6504,0.298318,0.695703,7.821477,29,0
20260479,1000,103.1553,0.267254,0.784091,6.707517,31,0
20260480,1000,701.6416,0.579409,0.735476,11.197664,22,0
20260481,1000,369.2539,0.380616,0.819153,6.762203,34,0
20260482,1000,249.6875,0.315792,0.465012,12.491564,32,0
20260483,1000,787.7461,0.899599,0.945571,9.865315,32,0
20260484,1000,139.9316,0.130798,0.393480,6.513069,27,0
20260485,1000,615.4717,0.712465,0.968843,7.711698,26,0
20260486,1000,306.8301,0.177649,0.426583,6.249486,24,0
20260487,1000,511.1328,0.501962,0.854526,10.898905,30,0
20260488,1000,792.2930,0.745157,0.934244,6.875022,33,0
20260489,1000,385.1211,0.364691,0.284335,10.424045,34,0
20260490,1000,552.8936,0.506001,0.908897,8.053802,31,0
20260491,1000,582.7334,0.653865,0.970488,5.255152,25,0
20260492,1000,699.0703,0.658100,0.706060,9.015024,36,0
20260493,1000,461.5137,0.427591,0.879572,4.508815,37,0
20260494,1000,436.3008,0.683829,0.878101,8.683945,28,0
20260495,1000,345.4668,0.396153,0.912046,5.370096,17,0
20260496,1000,559.9609,0.689612,0.873626,12.580713,27,0
20260497,1000,706.5254,0.813122,0.946423,6.569514,27,0
20260498,1000,-178.9902,-0.344082,0.504867,9.242826,29,0
20260499,1000,-282.7656,-0.375191,0.491864,11.284324,25,0
