seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260417,1000,-1633.1953,-1.735113,0.842614,20.170521,30,0
20260418,1000,-404.0840,-0.002018,0.000019,13.495662,30,0
20260419,1000,-961.5273,-0.862474,0.514215,20.552810,35,0
20260420,1000,-1473.7383,-1.826632,0.919949,23.673432,40,0
20260421,1000,-601.5781,-0.483497,0.199070,17.995803,39,0
20260422,1000,-1108.8232,-1.655309,0.928463,24.384458,33,0
20260423,1000,287.4492,0.338733,0.744162,7.203079,20,0
20260424,1000,-947.4082,-0.439254,0.338431,15.277138,26,0
20260425,1000,287.9336,0.236676,0.571140,6.919601,25,0
20260426,1000,-971.5000,-0.575534,0.394321,22.063403,34,0
20260427,1000,287.7324,0.284068,0.902390,3.335911,22,0
20260428,1000,-1310.9326,-1.640879,0.833044,25.406076,52,0
20260429,1000,461.3643,0.424475,0.869738,9.745463,36,0
20260430,1000,-1389.9697,-2.124618,0.862785,25.562748,45,0
20260431,1000,381.0000,0.318930,0.862730,8.929384,34,0
20260432,1000,301.0137,0.098819,0.144153,8.546665,21,0
20260433,1000,68.2031,0.040045,0.003441,21.687834,30,0
20260434,1000,-2026.9375,-2.073818,0.958381,24.834671,52,0
20260435,1000,-503.9180,-0.065560,0.013167,14.480568,40,0
20260436,1000,471.5312,0.511184,0.835389,10.562492,29,0
20260437,1000,268.4863,0.012619,0.000438,19.678530,34,0
20260438,1000,-715.4873,-1.134933,0.838987,20.010972,42,0
20260439,1000,-406.9395,-0.183728,0.182867,13.921224,44,0
20260440,1000,327.5938,0.352245,0.909343,6.711004,26,0
20260441,1000,-767.4248,-0.704646,0.270336,21.621913,37,0
20260442,1000,-9.3320,0.512468,0.816180,12.347535,30,0
20260443,1000,512.5176,0.442978,0.911699,6.766322,25,0
20260444,1000,527.2236,0.659128,0.863505,10.569482,29,0
20260445,1000,-522.5439,-0.752622,0.441571,19.520971,38,0
20260446,1000,126.4609,0.199985,0.168686,16.131288,35,0
20260447,1000,-1032.2480,-0.751526,0.576581,20.293831,41,0
20260448,1000,-362.7979,0.107055,0.075342,11.836788,23,0
20260449,1000,-794.9922,-1.496116,0.804780,21.442426,54,0
20260450,1000,535.0586,0.758337,0.862275,11.928389,29,0
20260451,1000,-31.8643,0.004748,0.000381,9.446322,32,0
20260452,1000,-94.3105,0.032346,0.003629,15.415866,43,0
20260453,1000,-795.2305,-0.858138,0.713876,15.973230,35,0
20260454,1000,-230.3428,0.129584,0.024913,19.793398,31,0
20260455,1000,-303.1387,-0.372129,0.456260,15.625275,43,0
20260456,1000,-242.1016,-0.355645,0.200029,15.399073,30,0
20260457,1000,136.2432,0.014733,0.001234,16.784939,25,0
20260458,1000,158.1562,0.209522,0.382865,10.267706,34,0
20260459,1000,-833.4707,-1.063381,0.622287,21.547282,50,0
20260460,1000,453.8232,0.549781,0.885998,8.279298,29,0
20260461,1000,236.6406,0.232265,0.524657,13.399458,38,0
20260462,1000,173.9209,0.131475,0.144167,14.326490,28,0
20260463,1000,197.8555,0.171661,0.400771,6.362519,25,0
20260464,1000,-48.2949,0.030230,0.002856,16.715864,43,0
20260465,1000,323.8828,0.472939,0.604527,11.170167,19,0
20260466,1000,346.6250,0.311724,0.753364,10.443812,26,0
20260467,1000,-693.7041,-0.595189,0.304745,18.530602,47,0
20260468,1000,582.7012,0.632365,0.930551,7.390319,27,0
20260469,1000,643.7842,0.235522,0.133653,14.947934,36,0
20260470,1000,464.3184,0.625277,0.918084,8.208374,22,0
20260471,1000,45.7686,0.016017,0.003644,14.478052,27,0
20260472,1000,-1076.1328,-0.864856,0.395132,21.941542,43,0
20260473,1000,-1262.9014,-1.592601,0.730548,21.011704,39,0
20260474,1000,-1131.9131,-1.761901,0.811955,24.270321,38,0
20260475,1000,-1672.0127,-1.948685,0.959344,26.419069,45,0
20260476,1000,-1081.8789,-1.243946,0.679813,19.491053,57,0
20260477,1000,-282.7402,-0.064176,0.020464,13.692997,40,0
20260478,1000,-5.8428,-0.058932,0.028351,17.001291,28,0
20260479,1000,-270.7217,0.096720,0.164195,9.267514,30,0
20260480,1000,335.1299,0.366391,0.656626,11.629034,24,0
20260481,1000,320.8633,0.205069,0.144549,17.137060,34,0
20260482,1000,-601.4668,-0.607298,0.531885,20.781962,41,0
20260483,1000,719.2637,0.683129,0.938301,8.445101,32,0
20260484,1000,-1045.6201,-1.384087,0.811842,23.558765,39,0
20260485,1000,238.7646,0.421082,0.755323,11.795659,26,0
20260486,1000,251.6602,0.109361,0.268457,7.962760,27,0
20260487,1000,352.9062,0.357551,0.918078,8.586812,28,0
20260488,1000,700.8223,0.697586,0.902115,8.918795,32,0
20260489,1000,-143.0166,-0.431201,0.163423,18.303202,37,0
20260490,1000,-679.5947,-0.822030,0.716112,20.105603,35,0
20260491,1000,-309.0967,-0.097914,0.113247,12.993560,29,0
20260492,1000,436.1172,0.498175,0.696657,9.841698,38,0
20260493,1000,759.3730,0.524101,0.712456,14.083138,37,0
20260494,1000,142.9355,0.710590,0.678606,16.859375,40,0
20260495,1000,-246.5527,-0.316795,0.669331,14.632154,26,0
20260496,1000,416.0312,0.500835,0.856062,12.319976,28,0
20260497,1000,377.9180,0.443688,0.666029,11.704657,31,0
20260498,1000,-2333.6348,-2.871143,0.955480,25.000191,44,0
20260499,1000,-635.6699,-1.305282,0.784637,22.211008,37,0
20260500,1000,296.3301,0.443343,0.745428,11.472549,38,0
20260501,1000,-905.0293,-1.348261,0.697974,22.316748,58,0
20260502,1000,-647.2891,-0.480874,0.388569,21.866200,39,0
20260503,1000,283.1914,0.253463,0.623109,5.607407,30,0
20260504,1000,-0.3359,-0.131482,0.065911,16.477464,30,0
20260505,1000,403.3672,0.477343,0.877785,7.114759,26,0
20260506,1000,-1249.6758,-1.637866,0.708954,22.039034,36,0
20260507,1000,795.6318,0.599144,0.665398,12.487356,24,0
20260508,1000,-1396.7285,-1.654604,0.771074,21.856557,34,0
20260509,1000,-1115.7773,-0.792754,0.414707,22.096981,41,0
20260510,1000,332.0000,0.390035,0.978380,3.996025,32,0
20260511,1000,-245.8926,-0.171377,0.368823,10.100499,28,0
20260512,1000,226.6348,0.181479,0.061595,20.631052,40,0
20260513,1000,-30.2314,0.850815,0.508170,20.544034,47,0
20260514,1000,541.4658,0.376647,0.720292,9.508683,32,0
20260515,1000,-1019.8506,-1.124173,0.429189,22.839756,55,0
20260516,1000,322.8301,0.576997,0.789162,11.384908,25,0
