seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260417,1000,-1493.8438,-1.510587,0.814747,18.351271,26,0
20260418,1000,-434.5352,0.015918,0.001570,12.061867,31,0
20260419,1000,-1047.6484,-0.873127,0.639903,18.214850,34,0
20260420,1000,-1480.3506,-1.960139,0.912018,22.352780,44,0
20260421,1000,-743.3594,-0.793159,0.551666,16.594638,36,0
20260422,1000,-1223.3691,-1.850274,0.886608,22.576048,34,0
20260423,1000,279.6230,0.321056,0.788772,6.215648,20,0
20260424,1000,-964.1816,-0.437276,0.337480,15.565536,25,0
20260425,1000,272.2891,0.220375,0.662292,4.923688,24,0
20260426,1000,-1107.6328,-0.723309,0.517115,20.440794,35,0
20260427,1000,292.6621,0.296147,0.932651,2.106515,20,0
20260428,1000,-1496.6885,-1.778133,0.870647,24.486911,53,0
20260429,1000,481.3105,0.433113,0.885112,9.048091,36,0
20260430,1000,-1838.6826,-2.876104,0.892899,27.049266,55,0
20260431,1000,433.5234,0.369642,0.921686,6.328192,32,0
20260432,1000,240.5703,0.099348,0.349198,4.865814,22,0
20260433,1000,274.4688,0.113378,0.038933,15.238077,30,0
20260434,1000,-2341.2412,-2.621938,0.955003,26.572764,52,0
20260435,1000,-438.9102,-0.043997,0.005851,14.342944,39,0
20260436,1000,382.5000,0.399578,0.880730,7.892054,25,0
20260437,1000,154.2031,-0.173526,0.081789,19.447845,32,0
20260438,1000,-772.5674,-1.095634,0.881112,20.197928,34,0
20260439,1000,-504.6846,-0.266057,0.268235,14.013823,45,0
20260440,1000,283.5312,0.294507,0.884083,6.080944,26,0
20260441,1000,-1140.6875,-1.154802,0.439717,23.246802,44,0
20260442,1000,-265.2100,0.276206,0.523007,12.800343,29,0
20260443,1000,411.6211,0.266355,0.695364,6.631067,21,0
20260444,1000,425.3164,0.544775,0.952733,5.004089,29,0
20260445,1000,-246.9014,-0.651173,0.423464,18.098082,29,0
20260446,1000,125.6875,0.084185,0.047802,15.158924,34,0
20260447,1000,-961.2480,-0.703596,0.605470,17.586027,34,0
20260448,1000,-572.6240,-0.108287,0.072520,12.168550,23,0
20260449,1000,-542.2031,-1.231700,0.762167,19.891321,46,0
20260450,1000,496.5381,0.664730,0.872432,9.997731,28,0
20260451,1000,-60.7363,-0.058433,0.067990,9.826883,33,0
20260452,1000,-221.0918,-0.182668,0.193975,13.255632,40,0
20260453,1000,-792.6777,-0.858409,0.711987,16.777181,33,0
20260454,1000,-443.3486,-0.298947,0.207326,17.512941,36,0
20260455,1000,-545.9434,-0.491522,0.578821,18.401008,42,0
20260456,1000,-138.8945,-0.324572,0.193205,14.455349,27,0
20260457,1000,-49.5146,-0.068929,0.076128,9.895936,23,0
20260458,1000,205.1992,0.186333,0.520740,9.355372,35,0
20260459,1000,-738.6406,-0.957614,0.549500,20.014276,48,0
20260460,1000,270.4141,0.331300,0.872780,4.963176,26,0
20260461,1000,64.4844,0.013275,0.002885,11.370007,34,0
20260462,1000,-118.2354,-0.193315,0.195779,15.515384,26,0
20260463,1000,275.1094,0.254063,0.776856,3.828791,26,0
20260464,1000,-188.5156,-0.213273,0.129072,16.185224,38,0
20260465,1000,234.3125,0.318749,0.617885,7.871699,20,0
20260466,1000,355.4062,0.348683,0.829260,6.724654,24,0
20260467,1000,-875.9414,-0.823760,0.498892,19.716547,43,0
20260468,1000,384.7832,0.448198,0.965021,4.795280,24,0
20260469,1000,761.7070,0.216690,0.102689,14.047418,37,0
20260470,1000,391.2461,0.493511,0.898275,5.029709,20,0
20260471,1000,38.4062,-0.025008,0.018748,9.543029,24,0
20260472,1000,-1152.8994,-0.864079,0.451406,20.114629,32,0
20260473,1000,-1097.6182,-1.269359,0.737898,17.169066,33,0
20260474,1000,-1108.7695,-1.696863,0.835282,22.080007,43,0
20260475,1000,-1431.9795,-1.755186,0.946372,22.411832,42,0
20260476,1000,-979.0781,-1.224472,0.702111,17.990162,51,0
20260477,1000,-423.9746,-0.122905,0.052599,15.605765,38,0
20260478,1000,58.8164,0.074027,0.052341,16.256809,28,0
20260479,1000,-395.8232,-0.012888,0.001700,11.236610,33,0
20260480,1000,327.0078,0.286272,0.479136,10.595036,22,0
20260481,1000,30.7266,-0.071372,0.030031,12.758322,35,0
20260482,1000,-432.6230,-0.553467,0.624674,19.779933,44,0
20260483,1000,488.6191,0.473726,0.918816,5.194560,29,0
20260484,1000,-906.8809,-1.363670,0.858569,21.684406,35,0
20260485,1000,123.7891,0.201748,0.336907,12.824406,22,0
20260486,1000,248.4111,0.112861,0.327392,7.274113,28,0
20260487,1000,348.3594,0.302888,0.816554,8.532364,26,0
20260488,1000,776.5859,0.666635,0.898622,7.247190,31,0
20260489,1000,-177.2178,-0.409764,0.202822,17.822813,38,0
20260490,1000,-666.4883,-0.849841,0.726334,19.673819,36,0
20260491,1000,-383.1572,-0.064649,0.040383,14.559856,33,0
20260492,1000,508.5547,0.615032,0.827295,9.020804,40,0
20260493,1000,496.7441,0.311962,0.459815,11.631177,36,0
20260494,1000,20.5117,0.351151,0.597754,10.889752,29,0
20260495,1000,-234.4004,-0.280233,0.700388,13.458567,28,0
20260496,1000,41.8906,0.119375,0.228120,11.399104,34,0
20260497,1000,164.9492,0.121030,0.224701,11.885720,29,0
20260498,1000,-2416.9219,-3.107413,0.951383,24.727968,45,0
20260499,1000,-760.7871,-1.469131,0.844054,20.972913,43,0
20260500,1000,270.5508,0.427464,0.746369,9.893414,35,0
20260501,1000,-722.7588,-1.226517,0.663477,20.392576,47,0
20260502,1000,-1336.6562,-1.138976,0.828094,20.025055,46,0
20260503,1000,283.1914,0.253463,0.623109,5.607407,30,0
20260504,1000,-75.6934,-0.329566,0.298683,17.223684,25,0
20260505,1000,381.8789,0.419346,0.928407,4.229556,26,0
20260506,1000,-1079.7188,-1.443676,0.720007,20.292427,30,0
20260507,1000,593.0879,0.479343,0.803892,7.104682,20,0
20260508,1000,-1577.3398,-1.860187,0.825400,21.792641,33,0
20260509,1000,-1135.1699,-0.867302,0.533046,21.242362,36,0
20260510,1000,307.0693,0.401159,0.970817,3.446422,31,0
20260511,1000,-303.5049,-0.210143,0.498030,10.003773,27,0
20260512,1000,146.8301,0.089846,0.027334,13.886402,37,0
20260513,1000,-392.4004,0.075340,0.018479,16.627646,46,0
20260514,1000,586.0117,0.472606,0.911614,4.822141,33,0
20260515,1000,-917.3164,-1.095198,0.502530,22.220872,42,0
20260516,1000,176.7422,0.444228,0.794083,10.439691,25,0
