seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260417,1000,-1046.6094,-1.481975,0.779220,23.200050,39,0
20260418,1000,25.8984,-0.033977,0.026372,10.059212,31,0
20260419,1000,102.3721,0.047670,0.127963,7.786769,29,0
20260420,1000,295.1875,0.281265,0.402698,11.648772,22,0
20260421,1000,252.5957,0.558688,0.838371,11.855609,31,0
20260422,1000,-1141.0820,-0.509242,0.385161,17.941730,48,0
20260423,1000,293.3213,0.406242,0.888337,7.337671,27,0
20260424,1000,-677.5664,-0.725511,0.780928,20.352290,51,0
20260425,1000,-664.4688,-1.603995,0.715856,26.464207,41,0
20260426,1000,394.5430,0.223610,0.269875,15.126794,35,0
20260427,1000,-466.8281,-0.698644,0.418098,22.117893,45,0
20260428,1000,-943.8438,-1.042141,0.770471,19.387372,40,0
20260429,1000,414.9863,0.393691,0.925351,4.560603,30,0
20260430,1000,302.4844,0.357488,0.879023,7.570922,24,0
20260431,1000,-21.6250,0.163904,0.242485,10.104001,32,0
20260432,1000,-505.8213,-0.174383,0.091315,17.723298,29,0
20260433,1000,-20.8672,-0.203568,0.259695,13.852912,32,0
20260434,1000,-873.1328,-0.997182,0.774946,23.177261,57,0
20260435,1000,-3409.6250,-4.023259,0.882986,27.597062,54,0
20260436,1000,-216.4062,-0.288573,0.411759,13.800988,33,0
20260437,1000,-1128.3438,-1.723860,0.880379,22.971074,50,0
20260438,1000,-381.5625,0.285797,0.313139,12.557417,35,0
20260439,1000,339.2637,0.219387,0.790342,6.229799,27,0
20260440,1000,73.1406,0.016615,0.006187,10.957330,28,0
20260441,1000,-93.3281,-0.446498,0.374167,22.311075,36,0
20260442,1000,-905.4062,-1.249221,0.774352,22.842272,53,0
20260443,1000,53.7344,0.089098,0.211141,6.684063,24,0
20260444,1000,-3085.3125,-3.491123,0.887449,28.809276,50,0
20260445,1000,-30.4922,-0.381730,0.359529,16.562112,34,0
20260446,1000,170.4434,0.185037,0.439898,9.822083,23,0
20260447,1000,498.6035,0.390494,0.898103,6.185452,32,0
20260448,1000,57.5879,0.229192,0.854893,6.976383,33,0
20260449,1000,-73.5049,-0.218333,0.244640,14.317743,34,0
20260450,1000,-2189.6650,-2.898506,0.833205,25.200588,48,0
20260451,1000,262.1143,0.262803,0.838045,4.263315,27,0
20260452,1000,336.4082,0.231107,0.798340,4.201903,26,0
20260453,1000,-1849.0156,-2.155271,0.920289,25.861854,42,0
20260454,1000,-641.3555,-0.042203,0.005473,11.863593,36,0
20260455,1000,-1885.9844,-2.423609,0.861316,26.269561,37,0
20260456,1000,-1109.3906,-1.316553,0.763859,19.973874,36,0
20260457,1000,-436.8438,-0.641712,0.508361,18.923518,45,0
20260458,1000,430.0342,0.423528,0.922765,7.935232,28,0
20260459,1000,-2265.2656,-2.943380,0.924176,29.938404,49,0
20260460,1000,-2866.3604,-3.741051,0.881458,33.843911,82,0
20260461,1000,556.9717,0.461346,0.769741,10.287612,32,0
20260462,1000,-286.9844,-0.533103,0.320925,18.968941,41,0
20260463,1000,-677.3281,-0.245651,0.178928,15.824434,31,0
20260464,1000,430.0781,0.449374,0.903178,7.091512,27,0
20260465,1000,-2081.2676,-2.055174,0.786988,24.421767,38,0
20260466,1000,-288.8750,-0.358682,0.285719,21.595502,40,0
20260467,1000,12.2314,-0.061685,0.015870,13.568824,37,0
