seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260417,1000,290.3086,0.188565,0.397017,7.965264,34,0
20260418,1000,507.7754,0.393464,0.782156,6.491531,27,0
20260419,1000,133.7852,0.063634,0.096881,10.326358,32,0
20260420,1000,249.2188,0.325059,0.549701,10.061751,21,0
20260421,1000,838.7812,1.010691,0.963949,6.220209,33,0
20260422,1000,740.0938,0.724303,0.890025,9.926886,32,0
20260423,1000,441.0742,0.415241,0.881495,6.885341,32,0
20260424,1000,506.3242,0.531349,0.932761,5.959123,31,0
20260425,1000,472.4785,0.346652,0.671634,7.194578,29,0
20260426,1000,249.4590,0.296728,0.752593,4.756297,29,0
20260427,1000,742.1914,0.736926,0.963177,4.812242,37,0
20260428,1000,244.0078,0.160934,0.441736,4.148991,29,0
20260429,1000,334.0059,0.339039,0.901501,6.406359,31,0
20260430,1000,370.1562,0.358410,0.895954,3.823053,22,0
20260431,1000,252.6211,0.281517,0.535294,6.527611,33,0
20260432,1000,636.8428,0.705371,0.975320,3.367609,24,0
20260433,1000,395.9180,0.314135,0.931030,3.376702,31,0
20260434,1000,326.4492,0.409844,0.869293,8.698580,30,0
20260435,1000,-139.2578,-0.268988,0.318413,8.046857,39,0
20260436,1000,127.7500,0.181831,0.610419,5.467096,23,0
20260437,1000,463.4688,0.582866,0.953659,5.406254,28,0
20260438,1000,268.3750,0.643422,0.784930,9.479105,29,0
20260439,1000,378.1582,0.314949,0.846327,7.394749,30,0
20260440,1000,458.0938,0.414632,0.903802,6.251919,30,0
20260441,1000,536.2080,0.667853,0.904311,8.770036,25,0
20260442,1000,335.3496,0.259368,0.774634,5.533886,27,0
20260443,1000,290.5469,0.248331,0.647727,6.172857,24,0
20260444,1000,-416.7461,-0.535971,0.765738,9.388774,29,0
20260445,1000,-56.4414,0.092029,0.139516,6.891952,20,0
20260446,1000,331.6602,0.395336,0.705959,9.539358,22,0
20260447,1000,321.4668,0.415553,0.945978,4.267252,35,0
20260448,1000,444.0000,0.375966,0.817339,4.919771,33,0
20260449,1000,404.2158,0.403168,0.883489,4.083494,30,0
20260450,1000,413.9629,0.437509,0.826408,5.348349,35,0
20260451,1000,501.6572,0.511407,0.888108,7.647317,36,0
20260452,1000,448.4082,0.327415,0.731499,6.501569,33,0
20260453,1000,54.9717,0.150259,0.409405,6.080721,25,0
20260454,1000,198.8730,0.347830,0.876811,4.312428,32,0
20260455,1000,323.5850,0.313775,0.966019,3.008443,18,0
20260456,1000,-209.1562,-0.314895,0.654881,10.720971,31,0
20260457,1000,78.1758,-0.065339,0.040751,11.250341,39,0
20260458,1000,427.0762,0.411563,0.945033,7.150195,22,0
20260459,1000,262.3994,0.239445,0.723948,5.457648,29,0
20260460,1000,362.9775,0.260868,0.670973,7.921811,22,0
20260461,1000,527.2656,0.403917,0.665737,8.263620,36,0
20260462,1000,729.6016,0.796287,0.968308,7.952418,35,0
20260463,1000,567.0664,0.490583,0.964842,2.387382,27,0
20260464,1000,453.8965,0.494979,0.938129,3.026370,28,0
20260465,1000,455.4326,0.437519,0.865249,4.079357,22,0
20260466,1000,152.8516,0.059469,0.084164,6.168245,27,0
20260467,1000,560.6611,0.626264,0.785082,4.013412,35,0
20260468,1000,667.7969,0.634861,0.962647,4.602510,39,0
20260469,1000,507.3789,0.413088,0.584955,8.778312,24,0
20260470,1000,335.8086,0.247204,0.639139,9.084877,23,0
20260471,1000,817.9824,0.943731,0.970438,5.348948,23,0
20260472,1000,569.4863,0.670942,0.940903,9.292382,27,0
20260473,1000,275.7373,0.309525,0.898659,5.667610,26,0
20260474,1000,534.5312,0.608165,0.934623,3.515719,36,0
20260475,1000,328.8975,0.335419,0.802856,3.825240,24,0
20260476,1000,-48.9209,0.130588,0.233709,7.098770,28,0
20260477,1000,441.6152,0.424907,0.903910,4.129507,26,0
20260478,1000,256.4795,0.258988,0.677811,7.183855,24,0
20260479,1000,301.3359,0.337795,0.827894,8.152471,29,0
20260480,1000,740.3281,0.878851,0.953651,8.855793,30,0
20260481,1000,435.6758,0.413156,0.872415,3.978112,27,0
20260482,1000,611.7783,0.558318,0.969781,6.180158,34,0
20260483,1000,602.4053,0.603686,0.924944,7.062052,33,0
20260484,1000,336.5469,0.297414,0.766073,5.390613,25,0
20260485,1000,61.0781,0.205153,0.492229,10.690307,29,0
20260486,1000,418.9648,0.492993,0.896576,7.397309,27,0
20260487,1000,393.9141,0.387764,0.940477,4.979488,22,0
20260488,1000,439.5879,0.357240,0.759786,5.126514,19,0
20260489,1000,327.1299,0.232616,0.720126,4.487573,30,0
20260490,1000,119.2246,0.158928,0.417405,3.992515,28,0
20260491,1000,457.7266,0.411544,0.852109,6.124333,28,0
20260492,1000,836.1377,0.981213,0.974913,7.635984,41,0
20260493,1000,488.3594,0.377959,0.660742,7.273346,36,0
20260494,1000,527.1035,0.522915,0.889127,5.194350,28,0
20260495,1000,395.9297,0.377619,0.859660,4.934535,30,0
20260496,1000,350.7236,0.354921,0.861529,5.514937,34,0
20260497,1000,222.9590,0.293032,0.793087,7.857501,23,0
20260498,1000,444.7734,0.395473,0.930473,3.314145,25,0
20260499,1000,165.7480,0.046886,0.033273,7.245446,21,0
20260500,1000,701.0000,0.766210,0.962648,5.731547,31,0
20260501,1000,232.2852,0.176769,0.590968,5.117283,27,0
20260502,1000,523.9883,0.545358,0.983082,2.559304,29,0
20260503,1000,-192.6328,-0.297280,0.553648,9.206395,21,0
20260504,1000,141.3281,0.306377,0.734821,5.556790,25,0
20260505,1000,557.8271,0.552330,0.908587,5.025489,37,0
20260506,1000,72.8750,0.140585,0.334759,6.407934,25,0
20260507,1000,-105.5898,-0.173485,0.224894,9.781160,22,0
20260508,1000,305.7227,0.437053,0.477451,11.112824,28,0
