seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260417,1000,-802.3418,-1.176960,0.776659,19.764776,32,0
20260418,1000,16.3438,-0.050815,0.034246,11.248518,35,0
20260419,1000,102.3721,0.047670,0.127963,7.786769,29,0
20260420,1000,295.1875,0.281265,0.402698,11.648772,22,0
20260421,1000,252.5957,0.558688,0.838371,11.855609,31,0
20260422,1000,-1000.4180,-0.486301,0.392576,17.408430,46,0
20260423,1000,293.3213,0.406242,0.888337,7.337671,27,0
20260424,1000,-733.5938,-0.787725,0.825509,19.761096,49,0
20260425,1000,-556.7090,-1.289291,0.718779,21.608447,34,0
20260426,1000,394.5430,0.223610,0.269875,15.126794,35,0
20260427,1000,-384.9189,-0.564138,0.374949,19.644735,40,0
20260428,1000,-777.8750,-0.932185,0.744845,17.577961,38,0
20260429,1000,414.9863,0.393691,0.925351,4.560603,30,0
20260430,1000,302.4844,0.357488,0.879023,7.570922,24,0
20260431,1000,-21.6250,0.163904,0.242485,10.104001,32,0
20260432,1000,-341.1924,-0.124269,0.061316,15.394836,27,0
20260433,1000,-20.8672,-0.203568,0.259695,13.852912,32,0
20260434,1000,-772.9844,-0.866118,0.776865,21.115733,55,0
20260435,1000,-2932.7188,-3.530486,0.907326,23.863555,51,0
20260436,1000,-216.4062,-0.288573,0.411759,13.800988,33,0
20260437,1000,-980.5996,-1.574340,0.879397,20.151896,46,0
20260438,1000,-368.0000,0.284284,0.308270,12.148487,33,0
20260439,1000,339.2637,0.219387,0.790342,6.229799,27,0
20260440,1000,73.1406,0.016615,0.006187,10.957330,28,0
20260441,1000,-93.7793,-0.388576,0.380605,19.832540,31,0
20260442,1000,-732.8047,-1.111927,0.758993,20.424197,49,0
20260443,1000,53.7344,0.089098,0.211141,6.684063,24,0
20260444,1000,-2566.7344,-2.957888,0.896810,23.902867,44,0
20260445,1000,-30.4922,-0.381730,0.359529,16.562112,34,0
20260446,1000,170.4434,0.185037,0.439898,9.822083,23,0
20260447,1000,498.6035,0.390494,0.898103,6.185452,32,0
20260448,1000,57.5879,0.229192,0.854893,6.976383,33,0
20260449,1000,-73.5049,-0.218333,0.244640,14.317743,34,0
20260450,1000,-1779.2363,-2.356608,0.848153,21.645216,38,0
20260451,1000,262.1143,0.262803,0.838045,4.263315,27,0
20260452,1000,336.4082,0.231107,0.798340,4.201903,26,0
20260453,1000,-1701.8125,-2.021744,0.934940,24.057411,38,0
20260454,1000,-641.3555,-0.042203,0.005473,11.863593,36,0
20260455,1000,-1490.0264,-2.030749,0.870587,22.197515,33,0
20260456,1000,-969.3125,-1.184171,0.780513,17.809153,32,0
20260457,1000,-394.4473,-0.598789,0.505969,17.247022,42,0
20260458,1000,430.0342,0.423528,0.922765,7.935232,28,0
20260459,1000,-1658.9492,-2.180195,0.913073,25.111735,40,0
20260460,1000,-1989.7881,-2.510434,0.807594,29.484952,68,0
20260461,1000,556.9717,0.461346,0.769741,10.287612,32,0
20260462,1000,-142.3887,-0.429774,0.283280,16.663903,38,0
20260463,1000,-505.0625,-0.198030,0.160657,14.374045,30,0
20260464,1000,430.0781,0.449374,0.903178,7.091512,27,0
20260465,1000,-1733.1484,-1.706508,0.812743,22.255839,34,0
20260466,1000,-225.0703,-0.316743,0.257780,18.754745,36,0
20260467,1000,12.2314,-0.061685,0.015870,13.568824,37,0
20260468,1000,433.1367,0.395479,0.921770,7.737469,32,0
20260469,1000,453.7754,0.345820,0.616940,9.261440,24,0
20260470,1000,10.2861,0.176970,0.358954,11.158393,28,0
20260471,1000,-2028.0957,-2.640695,0.894795,24.409570,38,0
20260472,1000,288.1982,0.292336,0.780110,8.909995,19,0
20260473,1000,-316.8916,-0.110637,0.090604,16.788181,30,0
20260474,1000,503.8438,0.605410,0.929619,9.612014,29,0
20260475,1000,-379.1943,0.006853,0.000160,11.631961,24,0
20260476,1000,-1142.8096,-0.562530,0.263035,16.181273,43,0
20260477,1000,-1088.4453,-0.604252,0.288618,16.389897,43,0
20260478,1000,369.3564,0.352281,0.571862,8.957943,26,0
20260479,1000,-544.5000,-0.143410,0.084451,20.697041,27,0
20260480,1000,699.6250,0.750357,0.932866,10.797441,30,0
20260481,1000,-122.9766,-0.374966,0.478517,13.606808,30,0
20260482,1000,589.2217,0.563592,0.853661,10.389438,23,0
20260483,1000,-201.8428,-0.224041,0.164996,16.314532,37,0
20260484,1000,297.8545,0.258411,0.794085,5.217268,22,0
20260485,1000,192.1250,0.329606,0.853246,8.264366,33,0
20260486,1000,-151.5312,-0.244625,0.225428,16.570564,26,0
20260487,1000,244.7275,0.230394,0.511400,10.992215,20,0
20260488,1000,-1724.1992,-1.581431,0.815709,20.308054,42,0
20260489,1000,-1214.8682,-1.448435,0.826545,21.365183,34,0
20260490,1000,-643.7539,-0.379904,0.393922,16.053330,36,0
20260491,1000,359.0938,0.366351,0.867237,6.506642,26,0
20260492,1000,-289.1553,-0.298923,0.157727,17.539485,38,0
20260493,1000,-119.1953,-0.477806,0.335869,14.616331,31,0
20260494,1000,-593.5215,-0.397927,0.348406,16.663732,31,0
20260495,1000,487.8203,0.054405,0.004913,14.841823,41,0
20260496,1000,-385.4111,-0.830465,0.756787,18.298319,41,0
20260497,1000,-465.8750,0.119423,0.073872,13.769879,32,0
20260498,1000,41.9873,0.269301,0.499697,10.339722,32,0
20260499,1000,-10.9697,-0.266360,0.442689,12.213617,24,0
20260500,1000,-898.9297,-0.391513,0.295328,17.584925,36,0
20260501,1000,-276.8281,-0.539847,0.754707,16.619260,35,0
20260502,1000,-252.3877,0.016781,0.001576,12.053216,34,0
20260503,1000,-479.8516,-0.214131,0.458837,11.772441,25,0
20260504,1000,-584.9805,-1.009248,0.661874,19.352000,36,0
