timestamp,product,side,quote_price,quoted_qty,server_fv,edge_at_quote,filled_qty,fill_price,markout_h1,markout_h5,markout_h20,markout_h50
0,ASH_COATED_OSMIUM,bid,9999,5,10011.0,12.0,0,,3.703125,2.8828125,2.162109375,1.4453125
0,ASH_COATED_OSMIUM,ask,10004,5,10011.0,-7.0,0,,1.296875,2.1171875,2.837890625,3.5546875
100,ASH_COATED_OSMIUM,bid,10000,5,10002.703125,2.703125,0,,2.2236328125,1.912109375,1.17578125,0.7373046875
100,ASH_COATED_OSMIUM,ask,10006,5,10002.703125,3.296875,0,,3.7763671875,4.087890625,4.82421875,5.2626953125
200,ASH_COATED_OSMIUM,bid,10000,5,10002.2236328125,2.2236328125,0,,2.01171875,1.5087890625,1.103515625,0.7890625
200,ASH_COATED_OSMIUM,ask,10006,5,10002.2236328125,3.7763671875,0,,3.98828125,4.4912109375,4.896484375,5.2109375
300,ASH_COATED_OSMIUM,bid,10001,5,10002.01171875,1.01171875,0,,0.7412109375,0.0283203125,0.1484375,-0.412109375
300,ASH_COATED_OSMIUM,ask,10007,5,10002.01171875,4.98828125,0,,5.2587890625,5.9716796875,5.8515625,6.412109375
400,ASH_COATED_OSMIUM,bid,10000,5,10001.7412109375,1.7412109375,0,,1.8828125,0.3447265625,1.2763671875,0.95703125
400,ASH_COATED_OSMIUM,ask,10006,5,10001.7412109375,4.2587890625,0,,4.1171875,5.6552734375,4.7236328125,5.04296875
500,ASH_COATED_OSMIUM,bid,10000,5,10001.8828125,1.8828125,0,,1.912109375,0.7392578125,1.4560546875,1.7060546875
500,ASH_COATED_OSMIUM,ask,10006,5,10001.8828125,4.1171875,0,,4.087890625,5.2607421875,4.5439453125,4.2939453125
600,ASH_COATED_OSMIUM,bid,10000,5,10001.912109375,1.912109375,0,,1.5087890625,0.681640625,1.31640625,1.4423828125
600,ASH_COATED_OSMIUM,ask,10006,5,10001.912109375,4.087890625,0,,4.4912109375,5.318359375,4.68359375,4.5576171875
700,ASH_COATED_OSMIUM,bid,10000,5,10001.5087890625,1.5087890625,0,,1.0283203125,1.009765625,1.44140625,1.2939453125
700,ASH_COATED_OSMIUM,ask,10006,5,10001.5087890625,4.4912109375,0,,4.9716796875,4.990234375,4.55859375,4.7060546875
800,ASH_COATED_OSMIUM,bid,9999,5,10001.0283203125,2.0283203125,0,,1.3447265625,2.0380859375,2.4423828125,2.8310546875
800,ASH_COATED_OSMIUM,ask,10005,5,10001.0283203125,3.9716796875,0,,4.6552734375,3.9619140625,3.5576171875,3.1689453125
900,ASH_COATED_OSMIUM,bid,9999,5,10000.3447265625,1.3447265625,0,,1.7392578125,1.83984375,2.1591796875,2.345703125
900,ASH_COATED_OSMIUM,ask,10005,5,10000.3447265625,4.6552734375,0,,4.2607421875,4.16015625,3.8408203125,3.654296875
1000,ASH_COATED_OSMIUM,bid,9999,5,10000.7392578125,1.7392578125,0,,1.681640625,1.48046875,2.248046875,1.9248046875
1000,ASH_COATED_OSMIUM,ask,10005,5,10000.7392578125,4.2607421875,0,,4.318359375,4.51953125,3.751953125,4.0751953125
1100,ASH_COATED_OSMIUM,bid,9999,5,10000.681640625,1.681640625,0,,2.009765625,1.005859375,2.5234375,1.892578125
1100,ASH_COATED_OSMIUM,ask,10005,5,10000.681640625,4.318359375,0,,3.990234375,4.994140625,3.4765625,4.107421875
1200,ASH_COATED_OSMIUM,bid,9999,5,10001.009765625,2.009765625,0,,2.0380859375,1.1357421875,2.4541015625,1.80078125
