seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260417,1000,-894.5742,-0.771095,0.629004,17.207417,25,0
20260418,1000,-33.2490,0.196336,0.290156,9.561925,33,0
20260419,1000,931.2031,0.885362,0.973219,8.632660,30,0
20260420,1000,-14.0801,-0.135012,0.420985,7.697875,28,0
20260421,1000,700.2734,0.826080,0.934503,6.585565,33,0
20260422,1000,84.8164,0.083542,0.237511,8.819148,22,0
20260423,1000,277.7822,0.223570,0.795645,3.921576,23,0
20260424,1000,162.1934,0.158914,0.668657,5.345226,18,0
20260425,1000,298.7559,0.249894,0.657832,6.804885,27,0
20260426,1000,1235.5781,1.187761,0.883193,14.104341,22,0
20260427,1000,273.3105,0.382894,0.924274,4.066200,21,0
20260428,1000,859.5195,0.872173,0.958563,7.238511,36,0
20260429,1000,565.3672,0.618322,0.955086,7.686485,32,0
20260430,1000,42.9014,-0.316456,0.161980,17.577893,29,0
20260431,1000,431.1094,0.409212,0.929718,5.659069,31,0
20260432,1000,400.5430,0.221573,0.356167,8.840373,21,0
20260433,1000,380.0000,0.286734,0.519212,5.267311,22,0
20260434,1000,147.6709,0.306359,0.731359,5.669906,31,0
20260435,1000,16.8008,0.154051,0.321429,8.765760,33,0
20260436,1000,415.3750,0.426207,0.908846,5.069492,31,0
20260437,1000,539.9824,0.587404,0.910572,6.435797,27,0
20260438,1000,332.0068,0.381008,0.829946,7.903036,29,0
20260439,1000,634.3779,0.613237,0.920833,5.392057,27,0
20260440,1000,439.4688,0.470116,0.948255,6.039611,26,0
20260441,1000,233.4805,0.270292,0.595703,5.117413,27,0
20260442,1000,319.9492,0.401466,0.925720,6.340404,23,0
20260443,1000,474.4941,0.495777,0.920549,6.233392,26,0
20260444,1000,471.4219,0.653586,0.926550,7.564546,24,0
20260445,1000,598.6426,0.684989,0.972079,3.302061,24,0
20260446,1000,483.7422,0.534745,0.961544,4.785693,28,0
