cell_id,lever,notes,day_-2_pnl,day_-1_pnl,day_0_pnl,mean_pnl,min_pnl,max_pnl,std_pnl,total_maker_fills,total_taker_fills,local_total_pnl_3day,expected_official_pnl_per_day,avg_markout_1,avg_markout_5,avg_markout_20
B2_m1.0_t0.25,B2,"maker_edge=1.0, taker_edge=0.25",2538.00,3218.00,2494.00,2750.00,2494.00,3218.00,331.41,9,822,8250.00,1092.96,1.893,1.782,1.696
B2_m1.0_t0.5,B2,"maker_edge=1.0, taker_edge=0.5",2581.50,3361.00,2471.00,2804.50,2471.00,3361.00,396.08,9,768,8413.50,1173.05,1.931,1.854,1.758
B2_m1.0_t1.0,B2,"maker_edge=1.0, taker_edge=1.0",2643.00,3279.00,2394.00,2772.00,2394.00,3279.00,372.64,9,675,8316.00,1280.30,2.024,1.939,1.869
B2_m1.0_t1.5,B2,"maker_edge=1.0, taker_edge=1.5",2267.50,2669.00,2142.00,2359.50,2142.00,2669.00,224.77,11,555,7078.50,1499.72,1.962,1.969,1.842
B2_m1.5_t0.25,B2,"maker_edge=1.5, taker_edge=0.25",2598.00,3194.00,2463.00,2751.67,2463.00,3194.00,317.60,9,817,8255.00,1098.62,1.902,1.788,1.699
B2_m1.5_t0.5,B2,"maker_edge=1.5, taker_edge=0.5",2582.00,3359.00,2541.00,2827.33,2541.00,3359.00,376.32,6,768,8482.00,882.78,1.936,1.848,1.770
B2_m1.5_t1.0,B2,"maker_edge=1.5, taker_edge=1.0",2620.50,3168.00,2372.00,2720.17,2372.00,3168.00,332.52,8,673,8160.50,1150.16,2.018,1.926,1.863
B2_m1.5_t1.5,B2,"maker_edge=1.5, taker_edge=1.5",2338.50,2878.00,2111.00,2442.50,2111.00,2878.00,321.65,11,558,7327.50,1545.55,1.981,1.982,1.858
B2_m2.0_t0.25,B2,"maker_edge=2.0, taker_edge=0.25",2445.00,3274.00,2421.00,2713.33,2421.00,3274.00,396.57,12,826,8140.00,1340.47,1.868,1.768,1.668
B2_m2.0_t0.5,B2,"maker_edge=2.0, taker_edge=0.5",2572.00,3367.00,2524.00,2821.00,2524.00,3367.00,386.58,13,770,8463.00,1571.93,1.937,1.841,1.747
B2_m2.0_t1.0,B2,"maker_edge=2.0, taker_edge=1.0",2628.50,3188.00,2378.00,2731.50,2378.00,3188.00,338.61,11,671,8194.50,1486.24,2.005,1.917,1.852
B2_m2.0_t1.5,B2,"maker_edge=2.0, taker_edge=1.5",2268.50,2878.00,2187.00,2444.50,2187.00,2878.00,308.33,12,560,7333.50,1658.25,1.981,1.972,1.845
B2_m2.5_t0.25,B2,"maker_edge=2.5, taker_edge=0.25",2444.00,3305.00,2481.00,2743.33,2444.00,3305.00,397.45,17,822,8230.00,1806.53,1.886,1.777,1.685
B2_m2.5_t0.5,B2,"maker_edge=2.5, taker_edge=0.5",2581.00,3319.00,2546.00,2815.33,2546.00,3319.00,356.43,18,771,8446.00,2052.78,1.939,1.855,1.753
B2_m2.5_t1.0,B2,"maker_edge=2.5, taker_edge=1.0",2597.50,3247.00,2471.00,2771.83,2471.00,3247.00,339.94,14,668,8315.50,1845.68,2.002,1.930,1.830
B2_m2.5_t1.5,B2,"maker_edge=2.5, taker_edge=1.5",2268.50,2863.00,2170.00,2433.83,2170.00,2863.00,306.12,14,560,7301.50,1880.82,1.986,1.978,1.863
