cell_id,lever,notes,day_-2_pnl,day_-1_pnl,day_0_pnl,mean_pnl,min_pnl,max_pnl,std_pnl,total_maker_fills,total_taker_fills,local_total_pnl_3day,expected_official_pnl_per_day,avg_markout_1,avg_markout_5,avg_markout_20
I1_passive_only,I,F3a with taker disabled (passive only),-0.50,-5.00,4.00,-0.50,-5.00,4.00,3.67,6,0,-1.50,-13.89,2.875,1.812,1.792
I3a_pt3,I,F3a + profit-target flatten at +3 ticks markout,2791.00,3635.00,3365.00,3263.67,2791.00,3635.00,351.93,5,773,9791.00,899.30,1.780,1.710,1.652
I3b_pt5,I,F3a + profit-target flatten at +5 ticks markout,2937.50,3768.00,3459.00,3388.17,2937.50,3768.00,342.73,4,753,10164.50,826.44,1.856,1.791,1.729
I4a_skip_narrow,I,F3a + skip quoting when spread <= 12,132.50,234.00,430.00,265.50,132.50,430.00,123.48,7,23,796.50,1740.71,2.911,2.482,2.429
I4b_tight_in_wide,I,F3a + tighter quotes when spread>=16 (m=2.25),3174.00,3817.00,3312.00,3434.33,3174.00,3817.00,276.39,6,701,10303.00,1142.14,1.978,1.903,1.862
I4c_loose_in_wide,I,F3a + wider quotes when spread>=16 (m=3.0),3228.00,3696.00,3343.00,3422.33,3228.00,3696.00,199.13,0,700,10267.00,334.21,1.979,1.895,1.862
I5a_scalp1,I,F3a + tighten unwinding side by 1 tick,3184.00,3714.00,3335.00,3411.00,3184.00,3714.00,222.95,6,702,10233.00,1133.25,1.972,1.894,1.858
I5b_scalp2,I,F3a + tighten unwinding side by 2 ticks,3228.00,3693.00,3335.00,3418.67,3228.00,3693.00,198.84,2,701,10256.00,603.07,1.976,1.894,1.862
I_combo,I,F3a + pt3 + tight_in_wide + scalp1 (combined winners),2853.50,3606.00,3365.00,3274.83,2853.50,3606.00,313.75,13,773,9824.50,1819.07,1.793,1.734,1.662
I2a_ladder_4lvl,I,F3a + 4-level ladder rotation (2.5/5/8/12),3408.00,3898.00,3692.00,3666.00,3408.00,3898.00,200.88,72,699,10998.00,9834.30,2.110,2.030,1.985
I2b_ladder_3lvl_tight,I,F3a + 3-level tight ladder (2.5/4/6),3271.00,3862.00,3501.00,3544.67,3271.00,3862.00,243.24,52,704,10634.00,7094.93,2.029,1.965,1.927
I2c_ladder_2lvl,I,F3a + 2-level ladder (2.5 + 5.0 double-size),3152.00,3802.00,3462.00,3472.00,3152.00,3802.00,265.46,27,701,10416.00,3903.41,2.009,1.929,1.907
I2d_ladder_5lvl,I,F3a + 5-level ladder (2.5/4/6/9/13),3331.00,3947.00,3629.00,3635.67,3331.00,3947.00,251.53,58,702,10907.00,8035.14,2.062,1.989,1.965
I2a_standalone,I,I2a using standalone ash_ladder.py (uploaded path),3408.00,3898.00,3692.00,3666.00,3408.00,3898.00,200.88,72,699,10998.00,9834.30,2.110,2.030,1.985
