label,note,off_ash,off_b0,off_b1,off_b2,off_b3,off_trades,off_maker,off_taker,off_maker_pct,off_avg_size,off_final_pos,off_near_limit,off_mk1,off_mk5,off_mk20,off_pep,local_ash,local_trades,local_final_pos,local_near_limit,score,delta_vs_h1
D7_deep_dz,dz d=4 a=5 cap=30 hybrid th=4.0 me=1.5,558.00,-6.00,72.00,-35.00,25.00,33,1,32,0.03,7.36,-31,0,-4.13,-2.96,-1.93,16321.00,7383.00,391,-30,1001,683.16,346.00
L5_mild,linear a=2 cap=20 hybrid th=2.0,523.00,-6.00,72.00,-35.00,25.00,32,1,31,0.03,6.91,-21,0,-2.77,-1.72,-0.50,16321.00,6751.00,382,-27,0,640.52,311.00
D6_mild,dz d=2 a=3 cap=20 hybrid th=3.0 me=1.5,514.00,-6.00,72.00,-35.00,25.00,32,1,31,0.03,6.88,-22,0,-2.81,-1.75,-0.53,16321.00,6459.00,373,-27,0,625.18,302.00
C_promoted,Promoted (ewma_mid m=1.0 t=0.25),357.00,4.50,40.50,-11.50,12.50,19,0,19,0.00,6.95,-4,0,1.84,1.41,3.36,16321.00,6447.00,472,4,0,481.64,145.00
D4_taker,dz d=1 a=8 cap=40 taker th=2.0 me=1.5,605.00,-6.00,72.00,-35.00,25.00,39,0,39,0.00,7.51,-37,334,-3.91,-2.81,-2.13,16321.00,8252.00,470,-38,7852,410.54,393.00
L3_taker,linear a=5 cap=40 taker th=2.0,605.00,-6.00,72.00,-35.00,25.00,39,0,39,0.00,7.51,-37,334,-3.91,-2.81,-2.13,16321.00,8144.00,461,-44,9098,408.38,393.00
L2_hybrid_hi,linear a=10 cap=40 hybrid th=2.0,605.00,-6.00,72.00,-35.00,25.00,39,0,39,0.00,7.51,-37,334,-3.91,-2.81,-2.13,16321.00,8110.00,460,-42,11556,407.70,393.00
D2_hybrid_hi,dz d=2 a=10 cap=40 hybrid th=2.0 me=1.5,605.00,-6.00,72.00,-35.00,25.00,39,0,39,0.00,7.51,-37,334,-3.91,-2.81,-2.13,16321.00,8103.00,459,-36,6502,407.56,393.00
D5_wide_maker,dz d=2 a=10 cap=40 hybrid th=3.0 me=2.0,605.00,-6.00,72.00,-35.00,25.00,39,0,39,0.00,7.51,-37,334,-3.91,-2.81,-2.13,16321.00,8103.00,459,-36,6502,407.56,393.00
L1_hybrid,linear a=5 cap=40 hybrid th=2.0,605.00,-6.00,72.00,-35.00,25.00,39,0,39,0.00,7.51,-37,334,-3.91,-2.81,-2.13,16321.00,8091.00,456,-41,9333,407.32,393.00
D1_hybrid,dz d=1 a=8 cap=40 hybrid th=2.0 me=1.5,605.00,-6.00,72.00,-35.00,25.00,39,0,39,0.00,7.51,-37,334,-3.91,-2.81,-2.13,16321.00,8055.00,457,-38,5995,406.60,393.00
V1_gamma15,convex g=1.5 a=3 cap=40 hybrid th=2.0,605.00,-6.00,72.00,-35.00,25.00,39,0,39,0.00,7.51,-37,334,-3.91,-2.81,-2.13,16321.00,8055.00,457,-38,5995,406.60,393.00
V2_gamma20,convex g=2.0 a=1.5 cap=40 hybrid th=3.0,605.00,-6.00,72.00,-35.00,25.00,39,0,39,0.00,7.51,-37,334,-3.91,-2.81,-2.13,16321.00,7966.00,454,-43,8617,404.82,393.00
C_baseline,Baseline ASH (wall_mid m=1.0 t=1.0),248.00,-10.50,31.50,-0.50,7.50,29,0,29,0.00,7.17,-12,0,1.66,1.55,2.97,16321.00,7301.00,650,-5,100,385.92,36.00
C_h1_alt,H1/Alt/F5 ASH leg (wall_mid m=1.5 t=0.5),212.00,-10.50,31.50,-0.50,7.50,30,0,30,0.00,7.13,-18,0,1.66,1.55,2.97,16321.00,7747.00,766,-9,110,355.84,0.00
W2_wall_dz0,wall-mean dz d=0 a=5 cap=40 hybrid th=2.0,98.00,-10.50,31.50,-0.50,7.50,27,0,27,0.00,6.93,-11,0,1.73,1.67,3.02,16321.00,8453.00,639,28,405,259.46,-114.00
W1_wall_dz1,wall-mean dz d=1 a=8 cap=40 hybrid th=2.0,38.00,-10.50,31.50,-0.50,7.50,27,0,27,0.00,7.04,-14,0,1.72,1.43,2.80,16321.00,8735.00,644,36,1596,203.60,-174.00
D3_maker,dz d=1 a=8 cap=40 maker th=2.0 me=1.5,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0,,,,16321.00,12.00,5,0,0,0.24,-212.00
L4_maker,linear a=5 cap=40 maker th=2.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0,0,,,,16321.00,8.00,4,0,0,0.16,-212.00
