label,note,mean_pep,min_pep,max_pep,std_pep,spread_pep,day_-2_pep,day_-1_pep,day_0_pep,day_-2_total,day_-1_total,day_0_total
P2_s65_w0500_hybrid,"seed=65, win=500, exec=hybrid, step=8",79384.66666666667,79205.0,79558.0,144.18121313896003,353.0,79558.0,79205.0,79391.0,82140.0,82564.0,81932.0
P2_s65_w1000_hybrid,"seed=65, win=1000, exec=hybrid, step=8",79384.66666666667,79205.0,79558.0,144.18121313896003,353.0,79558.0,79205.0,79391.0,82140.0,82564.0,81932.0
P2_s70_w0500_hybrid,"seed=70, win=500, exec=hybrid, step=8",79384.66666666667,79205.0,79558.0,144.18121313896003,353.0,79558.0,79205.0,79391.0,82140.0,82564.0,81932.0
P2_s70_w1000_hybrid,"seed=70, win=1000, exec=hybrid, step=8",79384.66666666667,79205.0,79558.0,144.18121313896003,353.0,79558.0,79205.0,79391.0,82140.0,82564.0,81932.0
C_v3_nearhold,"Control: V3_nearhold (uploaded, scored +7259 official on day 0)",79381.33333333333,79204.0,79549.0,141.01142585699296,345.0,79549.0,79204.0,79391.0,82131.0,82563.0,81932.0
P2_s65_w0500_taker,"seed=65, win=500, exec=taker, step=8",79381.33333333333,79204.0,79549.0,141.01142585699296,345.0,79549.0,79204.0,79391.0,82131.0,82563.0,81932.0
P2_s65_w1000_taker,"seed=65, win=1000, exec=taker, step=8",79381.33333333333,79204.0,79549.0,141.01142585699296,345.0,79549.0,79204.0,79391.0,82131.0,82563.0,81932.0
P2_s70_w0500_taker,"seed=70, win=500, exec=taker, step=8",79381.33333333333,79204.0,79549.0,141.01142585699296,345.0,79549.0,79204.0,79391.0,82131.0,82563.0,81932.0
P2_s70_w1000_taker,"seed=70, win=1000, exec=taker, step=8",79381.33333333333,79204.0,79549.0,141.01142585699296,345.0,79549.0,79204.0,79391.0,82131.0,82563.0,81932.0
P2_s75_w0500_hybrid,"seed=75, win=500, exec=hybrid, step=8",79377.66666666667,79205.0,79558.0,144.21357618322747,353.0,79558.0,79205.0,79370.0,82140.0,82564.0,81911.0
P2_s75_w1000_hybrid,"seed=75, win=1000, exec=hybrid, step=8",79377.66666666667,79205.0,79558.0,144.21357618322747,353.0,79558.0,79205.0,79370.0,82140.0,82564.0,81911.0
P2_s80_w0500_hybrid,"seed=80, win=500, exec=hybrid, step=8",79377.66666666667,79205.0,79558.0,144.21357618322747,353.0,79558.0,79205.0,79370.0,82140.0,82564.0,81911.0
P2_s80_w1000_hybrid,"seed=80, win=1000, exec=hybrid, step=8",79377.66666666667,79205.0,79558.0,144.21357618322747,353.0,79558.0,79205.0,79370.0,82140.0,82564.0,81911.0
P2_s75_w0500_taker,"seed=75, win=500, exec=taker, step=8",79374.33333333333,79204.0,79549.0,140.87898668321293,345.0,79549.0,79204.0,79370.0,82131.0,82563.0,81911.0
P2_s75_w1000_taker,"seed=75, win=1000, exec=taker, step=8",79374.33333333333,79204.0,79549.0,140.87898668321293,345.0,79549.0,79204.0,79370.0,82131.0,82563.0,81911.0
P2_s80_w0500_taker,"seed=80, win=500, exec=taker, step=8",79374.33333333333,79204.0,79549.0,140.87898668321293,345.0,79549.0,79204.0,79370.0,82131.0,82563.0,81911.0
P2_s80_w1000_taker,"seed=80, win=1000, exec=taker, step=8",79374.33333333333,79204.0,79549.0,140.87898668321293,345.0,79549.0,79204.0,79370.0,82131.0,82563.0,81911.0
C_buyhold_80,"Control: buy-and-hold PEPPER, position_limit=80",79351.33333333333,79192.0,79543.0,145.10762289494727,351.0,79543.0,79192.0,79319.0,82125.0,82551.0,81860.0
P2_s60_w0200_hybrid,"seed=60, win=200, exec=hybrid, step=8",79332.0,79293.0,79371.0,31.843366656181317,78.0,79371.0,79332.0,79293.0,81953.0,82691.0,81834.0
P2_s60_w0500_hybrid,"seed=60, win=500, exec=hybrid, step=8",79332.0,79293.0,79371.0,31.843366656181317,78.0,79371.0,79332.0,79293.0,81953.0,82691.0,81834.0
P2_s60_w1000_hybrid,"seed=60, win=1000, exec=hybrid, step=8",79332.0,79293.0,79371.0,31.843366656181317,78.0,79371.0,79332.0,79293.0,81953.0,82691.0,81834.0
P2_s65_w0200_hybrid,"seed=65, win=200, exec=hybrid, step=8",79332.0,79293.0,79371.0,31.843366656181317,78.0,79371.0,79332.0,79293.0,81953.0,82691.0,81834.0
P2_s70_w0200_hybrid,"seed=70, win=200, exec=hybrid, step=8",79332.0,79293.0,79371.0,31.843366656181317,78.0,79371.0,79332.0,79293.0,81953.0,82691.0,81834.0
P2_s75_w0200_hybrid,"seed=75, win=200, exec=hybrid, step=8",79332.0,79293.0,79371.0,31.843366656181317,78.0,79371.0,79332.0,79293.0,81953.0,82691.0,81834.0
P2_s80_w0200_hybrid,"seed=80, win=200, exec=hybrid, step=8",79332.0,79293.0,79371.0,31.843366656181317,78.0,79371.0,79332.0,79293.0,81953.0,82691.0,81834.0
P2_s60_w0200_taker,"seed=60, win=200, exec=taker, step=8",79328.66666666667,79293.0,79362.0,28.21740991342441,69.0,79362.0,79331.0,79293.0,81944.0,82690.0,81834.0
P2_s60_w0500_taker,"seed=60, win=500, exec=taker, step=8",79328.66666666667,79293.0,79362.0,28.21740991342441,69.0,79362.0,79331.0,79293.0,81944.0,82690.0,81834.0
P2_s60_w1000_taker,"seed=60, win=1000, exec=taker, step=8",79328.66666666667,79293.0,79362.0,28.21740991342441,69.0,79362.0,79331.0,79293.0,81944.0,82690.0,81834.0
