label,layer,note,off_total,off_pep,off_ash,off_pep_first25,off_pep_first50,off_pep_b0,off_pep_b1,off_pep_b2,off_pep_b3,off_pep_trades,off_pep_mkr,off_pep_tkr,off_pep_avg_size,off_pep_max_long,off_pep_max_short_fh,off_pep_near_limit,off_pep_endpos_b0,off_pep_endpos_b1,off_pep_endpos_b2,off_pep_endpos_b3,off_pep_mk1,off_pep_mk5,off_pep_mk20,local_total,local_pep,local_ash,local_pep_first25,local_pep_first50,local_pep_max_long,local_pep_max_short_fh,local_pep_near_limit,score
C_buyhold,control,Control: buy-and-hold PEPPER (directional upper-bound ref),7802.00,7279.00,523.00,1593.50,3473.50,1433.50,2240.00,2000.00,1880.00,6,0,6,13.33,80,0,999,80,80,80,80,-8.61,-8.56,-6.01,248212.00,239423.00,8789.00,59963.00,119763.00,80,0,29998,32053.90
C_corelong_v1_base50,control,"Control: v1 B_base50 (base=50, nominal overlay, no opening)",4728.00,4205.00,523.00,307.00,1525.50,259.00,1414.00,1288.00,1244.00,20,0,20,5.20,59,0,0,24,59,46,46,3.82,3.28,4.62,177978.00,169189.00,8789.00,40540.00,83204.50,62,-11,4195,21540.80
C_f5,control,Control: F5 PEPPER (asymmetric taker buy=1.5 sell=3.0),4434.50,3911.50,523.00,302.00,1501.00,264.00,1392.00,1307.00,948.50,28,0,28,5.32,62,0,144,19,62,41,25,4.09,3.38,3.94,153021.00,144232.00,8789.00,34700.50,70042.50,63,-29,883,18654.70
C_alt,control,Control: alt PEPPER (linear_drift t=2.0 skew=1 flat=0.9),2917.00,2394.00,523.00,130.00,919.50,122.00,910.00,882.00,480.00,34,0,34,5.29,45,-6,0,4,45,24,2,3.89,3.40,3.57,128573.00,119784.00,8789.00,32285.50,60648.50,77,-26,5616,14552.30
C_corelong_no_open,control,"Control: pure core-long (base=30, overlay off, no opening)",3301.50,2778.50,523.00,307.00,1202.50,259.00,1036.00,793.00,690.50,16,0,16,5.06,37,0,0,24,37,29,25,3.75,3.28,4.44,99033.00,90244.00,8789.00,22193.00,44742.00,35,0,0,12166.20
C_promoted,control,Control: promoted PEPPER (linear_drift t=2.0 skew=2 flat=0.7),2665.00,2394.00,271.00,130.00,919.50,122.00,910.00,882.00,480.00,34,0,34,5.29,45,-6,0,4,45,24,2,3.89,3.40,3.57,84692.00,78101.00,6591.00,22827.50,40286.00,58,-21,82,10389.00
L1_seed60_win01000,L1_opening,"L1: open_seed=60, open_window=1000, open_no_short=True; base=50 nominal overlay",5730.50,5207.50,523.00,1180.00,2640.00,1070.00,1730.00,1357.00,1230.50,25,0,25,6.52,64,0,293,55,64,43,49,-0.78,-1.21,-0.01,180820.00,172031.00,8789.00,43696.00,86299.50,62,-11,4406,23253.10
L1_seed60_win02500,L1_opening,"L1: open_seed=60, open_window=2500, open_no_short=True; base=50 nominal overlay",5730.50,5207.50,523.00,1180.00,2640.00,1070.00,1730.00,1357.00,1230.50,25,0,25,6.52,64,0,293,55,64,43,49,-0.78,-1.21,-0.01,180820.00,172031.00,8789.00,43696.00,86299.50,62,-11,4406,23253.10
L1_seed60_win05000,L1_opening,"L1: open_seed=60, open_window=5000, open_no_short=True; base=50 nominal overlay",5730.50,5207.50,523.00,1180.00,2640.00,1070.00,1730.00,1357.00,1230.50,25,0,25,6.52,64,0,293,55,64,43,49,-0.78,-1.21,-0.01,180820.00,172031.00,8789.00,43696.00,86299.50,62,-11,4406,23253.10
L1_seed50_win01000,L1_opening,"L1: open_seed=50, open_window=1000, open_no_short=True; base=50 nominal overlay",5730.50,5207.50,523.00,1180.00,2640.00,1070.00,1730.00,1357.00,1230.50,25,0,25,6.52,64,0,293,55,64,43,49,-0.78,-1.21,-0.01,180131.00,171342.00,8789.00,42856.00,85520.50,62,-11,4364,23184.20
